Date;Weekday;Down;Up;Total
;4;0.000;0.000;0.000
2016-07-19;2;47.527;51.972;99.499
2016-07-20;3;51.024;65.977;117.001
2016-07-20;3;51.024;65.977;117.001
2016-07-20;3;51.024;65.977;117.001
2016-07-20;3;51.024;65.977;117.001
2016-07-20;3;51.024;65.977;117.001
2016-07-21;4;3507.676;1495.137;5002.813
2016-07-22;5;0.000;0.000;0.000
2016-07-25;1;1509.716;1405.568;2915.284
2016-07-26;2;14071.801;7117.865;21189.666
2016-07-27;3;7908.976;6791.852;14700.828
2016-07-28;4;0.000;0.000;0.000
2016-09-19;1;27.937;39.710;67.647
2017-01-03;2;0.000;0.000;0.000
2017-02-16;4;0.000;0.000;0.000
2017-01-03;2;0.000;0.000;0.000
2017-02-16;4;24616.107;40599.299;65215.406
2017-02-17;5;203410.383;107713.416;311123.799
2017-02-18;6;0.000;0.000;0.000
2017-02-20;1;180488.937;35974.863;216463.800
2017-02-21;2;373935.646;129921.527;503857.173
2017-02-22;3;7430625.716;1318714.461;8749340.177
2017-02-23;4;4070878.548;429781.423;4500659.971
2017-02-24;5;377293.199;120775.495;498068.694
2017-02-25;6;48046.936;43471.539;91518.475
2017-02-26;7;48694.653;50718.554;99413.207
2017-02-27;1;365023.657;79900.685;444924.342
2017-02-28;2;401175.003;104168.608;505343.611
2017-03-01;3;724421.803;66024.618;790446.421
2017-03-02;4;135555.511;53531.536;189087.047
2017-03-03;5;278391.934;62953.868;341345.802
2017-03-04;6;78052.721;60692.190;138744.911
2017-03-05;7;103527.065;80376.761;183903.826
2017-03-06;1;514818.357;236204.336;751022.693
2017-03-07;2;279293.328;81831.530;361124.858
2017-03-08;3;58127.318;38122.104;96249.422
2017-03-09;4;1726623.304;75607.324;1802230.628
2017-03-10;5;390497.180;125973.374;516470.554
2017-03-11;6;91355.392;42659.434;134014.826
2017-03-12;7;371693.106;214578.558;586271.664
2017-03-13;1;456123.110;90917.420;547040.530
2017-03-14;2;108564.567;49662.954;158227.521
2017-03-15;3;272583.040;57515.885;330098.925
2017-03-16;4;217158.219;52757.537;269915.756
2017-03-17;5;126941.467;35897.427;162838.894
2017-03-18;6;47824.814;35632.026;83456.840
2017-03-19;7;46793.289;33872.569;80665.858
2017-03-20;1;280696.065;49814.360;330510.425
2017-03-21;2;25850.906;17388.201;43239.107
2017-03-22;3;14849.293;10925.127;25774.420
2017-03-23;4;55177.620;37390.293;92567.913
2017-03-24;5;1047965.833;91512.591;1139478.424
2017-03-25;6;70041.597;61434.763;131476.360
2017-03-26;7;48744.348;34541.776;83286.124
2017-03-27;1;423245.854;51727.875;474973.729
2017-03-28;2;49377.166;35682.376;85059.542
2017-03-29;3;142127.411;91937.919;234065.330
